City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,sisimiut,66.9395,-53.6735,-2.59,88,100,3.22,GL,1699496363
140,selfoss,63.9331,-20.9971,4.36,65,2,6.26,IS,1699496364
141,pionerskiy,54.9508,20.2275,8.97,87,91,8.76,RU,1699496364
142,plouzane,48.3833,-4.6167,12.03,88,75,7.2,FR,1699496365
143,namibe,-15.1961,12.1522,18.37,88,0,1.47,AO,1699496366
144,nago,26.5881,127.9761,27.47,82,100,4.37,JP,1699496367
145,nogliki,51.8333,143.1667,-0.92,67,100,4.92,RU,1699496367
146,alvaraes,-3.2208,-64.8042,22.94,94,100,1.44,BR,1699496369
147,tocache,-8.1842,-76.5125,23.78,81,80,0.4,PE,1699496243
148,stanley,54.868,-1.6985,5.01,93,75,1.54,GB,1699496373
149,columbia city,41.1573,-85.4883,20.46,85,100,6.26,US,1699496373
150,tobruk,32.0836,23.9764,20.5,77,55,2.04,LY,1699496374
151,sungailiat,-1.85,106.1333,29.62,65,100,3.84,ID,1699496374
152,korla,41.7597,86.1469,7.29,25,27,2.28,CN,1699496375
153,gudul,40.2105,32.2455,6.5,65,100,1.37,TR,1699496376
154,isafjordur,66.0755,-23.124,3.86,84,88,8.34,IS,1699496377
155,choyr,46.3611,108.3611,-15.89,82,14,6.8,MN,1699496378
156,kyenjojo,0.6328,30.6214,16.1,99,100,0.42,UG,1699496379
157,pandan,14.0453,124.1694,29.67,69,77,4.85,PH,1699496379
158,labytnangi,66.6572,66.4183,-3.33,99,100,1.28,RU,1699496380
159,puerto carreno,6.189,-67.4859,26.85,79,100,2.1,CO,1699496380
160,kabompo,-13.5927,24.2008,17.5,89,100,1.09,ZM,1699496381
161,kourou,5.1552,-52.6478,26.03,80,26,4.76,GF,1699496381
162,bauta,22.9828,-82.5464,22.94,83,20,2.06,CU,1699496382
163,kamenka,51.3223,42.7678,8.08,80,100,7.78,RU,1699496382
164,elliot lake,46.3834,-82.6331,-2.02,96,100,4.28,CA,1699496383
165,fisterra,42.9049,-9.2629,13.75,71,81,8.6,ES,1699496384
166,pecos,31.4229,-103.4932,27.15,26,0,0.0,US,1699495810
167,tindouf,27.6711,-8.1474,19.12,31,0,4.93,DZ,1699496385
168,las tablas,7.7667,-80.2833,26.66,86,99,4.58,PA,1699496386
169,nayoro,44.3506,142.4578,9.44,74,56,4.64,JP,1699496386
170,longyearbyen,78.2186,15.6401,-3.09,80,75,6.69,SJ,1699496386
171,sosnovo-ozerskoye,52.5249,111.5418,-10.86,78,100,2.21,RU,1699496387
172,chibougamau,49.9168,-74.3659,-11.21,85,75,3.09,CA,1699496387
173,dakoutun,39.5833,117.2289,4.21,16,0,10.38,CN,1699496388
174,kununurra,-15.7667,128.7333,36.99,41,53,4.12,AU,1699496388
175,nizhneudinsk,54.9076,99.0276,-13.69,84,32,1.61,RU,1699496389
176,moapa valley,36.5805,-114.4703,16.97,23,0,9.32,US,1699496389
177,arteche,12.2645,125.4048,29.2,72,18,3.26,PH,1699496180
178,holdenville,35.0804,-96.3992,16.28,66,0,6.99,US,1699496390
179,domna,51.8971,113.1573,-9.91,72,20,1.0,RU,1699496391
180,new norfolk,-42.7826,147.0587,22.06,44,35,1.54,AU,1699496392
181,dunedin,-45.8742,170.5036,11.0,80,96,3.13,NZ,1699496392
182,yemva,62.59,50.8594,0.27,92,100,3.36,RU,1699496393
183,alta,69.9689,23.2717,-2.41,82,100,5.14,NO,1699496393
184,san antonio de pale,-1.4014,5.6325,25.99,76,45,4.72,GQ,1699496394
185,newman,37.3138,-121.0208,15.19,60,0,1.68,US,1699496394
186,el calafate,-50.3408,-72.2768,7.06,73,59,3.59,AR,1699496395
187,lebu,-37.6167,-73.65,10.7,88,2,8.18,CL,1699496130
188,udachny,66.4167,112.4,-20.14,88,78,3.02,RU,1699496396
189,tolanaro,-25.0319,46.9987,21.41,94,100,2.29,MG,1699496397
190,ajdabiya,30.7554,20.2263,20.48,60,100,2.9,LY,1699496397
191,tandil,-37.3217,-59.1332,8.16,63,0,3.43,AR,1699496398
192,torghay,49.6339,63.4981,7.91,90,100,4.73,KZ,1699496398
193,sardinata,8.0829,-72.8007,27.82,95,17,1.91,CO,1699496399
194,milazzo,38.2212,15.2383,16.88,89,29,1.34,IT,1699496399
195,smithers,54.7804,-127.1743,1.18,93,75,1.03,CA,1699496400
196,miles city,46.4083,-105.8406,2.54,69,0,3.6,US,1699496400
197,garissa,-0.4536,39.6401,23.81,83,94,2.94,KE,1699496402
198,daru,-9.0763,143.2092,28.6,61,63,4.85,PG,1699496403
199,yuzhno-kurilsk,44.0306,145.8556,9.1,71,99,6.18,RU,1699496404
200,nar'yan-mar,67.6713,53.087,0.62,100,100,4.02,RU,1699496405
201,saint croix,17.7397,-64.7388,27.25,85,0,2.06,VI,1699496406
202,mar del plata,-38.0023,-57.5575,12.71,71,0,2.06,AR,1699496345
203,maitum,6.0392,124.4986,29.91,71,51,2.65,PH,1699496407
204,cabo san lucas,22.8909,-109.9124,27.64,76,100,0.89,MX,1699496113
205,nguigmi,14.2495,13.1092,26.51,22,13,5.17,NE,1699496408
206,ayancik,41.9447,34.5861,18.92,60,100,3.22,TR,1699496409
207,markovo,57.3206,107.0881,-12.22,89,93,1.87,RU,1699496410
208,port lincoln,-34.7333,135.8667,19.4,64,5,4.7,AU,1699496410
209,aurad,18.25,77.4333,21.4,80,90,3.06,IN,1699496411
210,swift current,50.2834,-107.8014,1.45,60,20,8.75,CA,1699496409
211,tazovsky,67.4667,78.7,-1.3,91,100,8.5,RU,1699496413
212,aykhal,66.0,111.5,-17.89,85,64,5.59,RU,1699496417
213,peace river,56.2501,-117.286,0.17,74,0,3.6,CA,1699496145
214,alo,7.4178,6.7371,24.72,90,100,1.67,NG,1699496422
215,hamilton,39.1834,-84.5333,23.87,59,75,6.69,US,1699496248
216,sechura,-5.5569,-80.8222,20.18,78,44,6.67,PE,1699496424
217,san pedro pochutla,15.7333,-96.4667,24.82,89,42,1.21,MX,1699496428
218,villa gesell,-37.2639,-56.973,14.47,65,0,5.93,AR,1699496429
219,horqueta,-23.3428,-57.0597,30.48,41,31,2.49,PY,1699496430
220,crane,31.3974,-102.3501,25.62,26,93,0.78,US,1699496144
221,north bend,43.4065,-124.2243,9.95,76,0,0.0,US,1699496433
222,balasore,21.4942,86.9317,22.13,58,94,2.57,IN,1699496433
223,margate,51.3813,1.3862,6.84,97,100,1.79,GB,1699496434
224,tan-tan,28.438,-11.1032,17.31,86,27,3.45,MA,1699496435
225,east london,-33.0153,27.9116,15.96,80,0,2.9,ZA,1699496435
226,qamdo,31.1667,97.2333,-3.76,48,46,0.33,CN,1699496436
227,sarkand,45.41,79.9186,10.95,39,100,2.11,KZ,1699496438
228,lincoln,40.8,-96.667,11.98,54,0,6.17,US,1699496438
229,tual,-5.6667,132.75,27.42,77,23,3.37,ID,1699496439
230,sao felix do xingu,-6.6447,-51.995,22.93,89,6,0.9,BR,1699496439
231,talara,-4.5772,-81.2719,20.42,88,0,8.75,PE,1699496440
232,nema,57.5067,50.5011,1.91,89,51,2.49,RU,1699496441
233,heihe,50.2441,127.4902,-9.68,80,15,0.98,CN,1699496441
234,luchegorsk,46.4764,134.2569,0.0,95,100,1.2,RU,1699496442
235,kiama,-34.6833,150.8667,21.11,85,94,5.82,AU,1699496442
236,ayaviri,-14.8864,-70.5889,10.88,55,98,1.89,PE,1699496443
237,fort bragg,35.139,-79.006,18.91,77,0,1.54,US,1699496443
238,sinjai,-5.1241,120.253,31.98,53,27,3.76,ID,1699496445
239,gobabis,-22.45,18.9667,20.24,17,0,4.21,NA,1699496445
240,bani walid,31.7566,13.9942,18.88,89,100,4.69,LY,1699496446
241,kasongo-lunda,-6.4667,16.8167,20.89,99,87,0.35,CD,1699496446
242,devils lake,48.1128,-98.8651,1.08,73,40,7.2,US,1699496447
